City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Sorong,ID,80.89,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
12,Mattru,SL,75.63,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
13,Trincomalee,LK,80.4,overcast clouds,8.5711,81.2335,Welcombe Hotel
16,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
19,Bengkulu,ID,78.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Saint-Georges,GD,79.36,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
31,Basak,PH,77.85,moderate rain,6.7274,124.1512,Muller Mountain View Lodge and Resort (LGBTQ Friendly)
34,Rikitea,PF,76.53,clear sky,-23.1203,-134.9692,People ThankYou
37,Savannah Bight,HN,81.5,clear sky,16.45,-85.85,Villa on Dunbar Rock
40,Dingle,PH,81.68,light rain,10.9995,122.6711,SEGAYA PROPERTY
41,Nortelandia,BR,77.04,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
49,Nishihara,JP,76.28,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
56,Ocala,US,78.98,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
63,Neiafu,TO,76.82,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
71,Ibra,OM,75.02,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
79,Lompoc,US,88.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
82,Dakar,SN,79.68,few clouds,14.6937,-17.4441,Novotel Dakar
84,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Humaita,BR,75.49,light rain,-7.5061,-63.0208,Corrêa Hotel
90,Alofi,NU,76.15,broken clouds,-19.0595,-169.9187,Taloa Heights
96,Kavieng,PG,84.16,few clouds,-2.5744,150.7967,Nusa Island Retreat
97,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.0833,Scoop Guest House
99,Atuona,PF,78.37,broken clouds,-9.8,-139.0333,Villa Enata
101,Faanui,PF,81.63,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
116,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
