City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Bethel,US,41.3712,-73.414,69.64,85,100,5.99,overcast clouds
Ushuaia,AR,-54.8,-68.3,38.23,91,36,5.03,scattered clouds
Alice Springs,AU,-23.7,133.8833,69.22,32,75,6.91,broken clouds
Albany,US,42.6001,-73.9662,74.62,71,98,1.01,overcast clouds
Airai,TL,-8.9266,125.4092,66.67,83,64,1.19,broken clouds
Sorong,ID,-0.8833,131.25,80.89,78,98,3.98,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,44.71,81,20,14.97,few clouds
Saskylakh,RU,71.9167,114.0833,27.82,94,100,12.91,overcast clouds
Palapye,BW,-22.546,27.1251,61.56,40,0,4.76,clear sky
Milkovo,RU,54.7167,158.6167,47.98,70,96,6.04,overcast clouds
Rawson,AR,-43.3002,-65.1023,49.89,48,0,18.23,clear sky
Upernavik,GL,72.7868,-56.1549,12.52,89,15,3.71,few clouds
Mattru,SL,7.6244,-11.8332,75.63,95,94,1.81,overcast clouds
Trincomalee,LK,8.5711,81.2335,80.4,82,100,23.09,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,49.95,72,2,1.99,clear sky
Khasan,RU,42.4308,130.6434,55.45,42,22,9.13,few clouds
Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
Bereda,ES,43.2686,-7.5406,59.58,98,97,2.3,overcast clouds
Narsaq,GL,60.9167,-46.05,39.42,79,92,3.24,overcast clouds
Bengkulu,ID,-3.8004,102.2655,78.1,91,42,3.74,scattered clouds
Geraldton,AU,-28.7667,114.6,59.41,88,100,4.61,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,68.0,83,17,7.94,few clouds
Ancud,CL,-41.8697,-73.8203,46.54,88,0,6.26,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,56,0,5.75,clear sky
Saint-Georges,GD,12.0564,-61.7485,79.36,76,99,14.74,overcast clouds
Mayo,US,38.8876,-76.5119,69.17,93,75,5.75,mist
Jamestown,US,42.097,-79.2353,68.95,92,71,4.83,broken clouds
Leningradskiy,RU,69.3833,178.4167,35.91,99,100,9.89,overcast clouds
Mataura,NZ,-46.1927,168.8643,50.49,70,55,3.36,broken clouds
Lavrentiya,RU,65.5833,-171.0,31.57,99,98,6.2,overcast clouds
Berlevag,NO,70.8578,29.0864,35.4,80,20,2.3,few clouds
Basak,PH,6.7274,124.1512,77.85,80,77,1.7,moderate rain
Castro,BR,-24.7911,-50.0119,55.8,89,99,1.59,moderate rain
Mgandu,TZ,-5.95,34.1333,57.92,91,58,5.86,broken clouds
Rikitea,PF,-23.1203,-134.9692,76.53,71,3,20.94,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,85,7.25,overcast clouds
Chifeng,CN,42.2683,118.9636,57.34,32,2,12.59,clear sky
Savannah Bight,HN,16.45,-85.85,81.5,66,4,12.53,clear sky
Aklavik,CA,68.2191,-135.0107,29.41,72,100,8.23,overcast clouds
Kandalaksha,RU,67.162,32.4123,40.39,91,37,2.51,scattered clouds
Dingle,PH,10.9995,122.6711,81.68,76,99,3.74,light rain
Nortelandia,BR,-14.4547,-56.8028,77.04,54,27,1.43,scattered clouds
Chuy,UY,-33.6971,-53.4616,59.32,84,92,3.96,overcast clouds
Yuancheng,CN,36.652,107.7896,52.84,51,97,2.48,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,39.04,91,100,27.16,overcast clouds
