City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Road Town,VG,2022-05-10 00:31:30,18.4167,-64.6167,80.69,83,20,6.91
1,Camocim,BR,2022-05-10 00:34:35,-2.9022,-40.8411,75.81,92,100,1.77
2,Tuatapere,NZ,2022-05-10 00:34:36,-46.1333,167.6833,51.69,68,12,3.98
3,Jalu,LY,2022-05-10 00:34:36,29.0331,21.5482,65.68,49,34,11.1
4,La Palma,US,2022-05-10 00:34:23,33.8464,-118.0467,71.87,43,20,17.27
5,Bacolod,PH,2022-05-10 00:30:27,10.6667,122.95,87.17,62,80,7.47
6,Devils Lake,US,2022-05-10 00:34:37,48.1128,-98.8651,51.91,89,100,11.5
7,Xichang,CN,2022-05-10 00:34:38,27.8964,102.2634,64.15,79,39,0.98
8,Tomatlan,MX,2022-05-10 00:34:39,19.9333,-105.25,80.64,59,8,6.4
9,Luderitz,NA,2022-05-10 00:34:39,-26.6481,15.1594,59.74,52,6,6.04
10,Roald,NO,2022-05-10 00:34:40,62.5833,6.1333,54.52,50,100,6.91
11,Kapaa,US,2022-05-10 00:34:40,22.0752,-159.319,82.72,72,20,13.8
12,Ushuaia,AR,2022-05-10 00:31:23,-54.8,-68.3,42.46,75,40,17.27
13,Bilibino,RU,2022-05-10 00:32:28,68.0546,166.4372,32.31,83,7,3.18
14,Praia Da Vitoria,PT,2022-05-10 00:34:41,38.7333,-27.0667,62.85,88,75,2.17
15,Bredasdorp,ZA,2022-05-10 00:34:42,-34.5322,20.0403,52.07,83,98,4.12
16,Nishihara,JP,2022-05-10 00:34:42,26.1842,127.7558,76.28,78,75,10.36
17,Puerto Ayora,EC,2022-05-10 00:34:43,-0.7393,-90.3518,72.55,97,23,7.16
18,Rikitea,PF,2022-05-10 00:34:44,-23.1203,-134.9692,76.69,70,41,11.03
19,Iqaluit,CA,2022-05-10 00:30:13,63.7506,-68.5145,33.53,80,100,4.61
20,Vanimo,PG,2022-05-10 00:30:29,-2.6741,141.3028,86.02,69,23,7.36
21,Nhulunbuy,AU,2022-05-10 00:34:45,-12.2333,136.7667,79.41,94,75,5.75
22,Vaini,TO,2022-05-10 00:34:45,-21.2,-175.2,77.16,61,40,6.91
23,Busselton,AU,2022-05-10 00:34:46,-33.65,115.3333,61.45,77,2,1.52
24,Krasnyy Chikoy,RU,2022-05-10 00:34:46,50.3643,108.7512,32.72,59,99,15.59
25,Kutum,SD,2022-05-10 00:34:47,14.2,24.6667,75.22,11,32,4.32
26,Norman Wells,CA,2022-05-10 00:34:47,65.282,-126.8329,50.04,27,20,18.41
27,Chuy,UY,2022-05-10 00:34:48,-33.6971,-53.4616,60.24,95,100,3.42
28,Castro,BR,2022-05-10 00:34:48,-24.7911,-50.0119,54.28,96,1,4.7
29,Torbay,CA,2022-05-10 00:34:49,47.6666,-52.7314,35.28,51,20,4.61
30,Warwick,US,2022-05-10 00:34:49,41.7001,-71.4162,51.33,34,0,4.0
31,Faya,SA,2022-05-10 00:34:50,18.3851,42.4509,68.11,42,40,2.42
32,Mataura,NZ,2022-05-10 00:32:05,-46.1927,168.8643,53.47,76,64,2.48
33,Jamestown,US,2022-05-10 00:32:22,42.097,-79.2353,71.24,16,0,8.05
34,Hasaki,JP,2022-05-10 00:34:51,35.7333,140.8333,63.28,68,100,17.43
35,Albany,US,2022-05-10 00:34:51,42.6001,-73.9662,66.61,54,4,4.45
36,Beipiao,CN,2022-05-10 00:34:52,41.7919,120.7792,61.59,36,20,16.93
37,Cardonal,MX,2022-05-10 00:34:52,20.6,-99.1333,75.63,41,37,8.01
38,Esperance,AU,2022-05-10 00:34:53,-33.8667,121.9,62.44,40,100,16.22
39,Chifeng,CN,2022-05-10 00:34:54,42.2683,118.9636,60.35,34,5,5.77
40,Skjervoy,NO,2022-05-10 00:34:54,70.0311,20.9714,34.0,100,100,2.59
41,Chokurdakh,RU,2022-05-10 00:34:55,70.6333,147.9167,22.68,93,100,17.54
42,Bengkulu,ID,2022-05-10 00:30:41,-3.8004,102.2655,80.8,76,91,1.7
43,Upernavik,GL,2022-05-10 00:34:56,72.7868,-56.1549,25.03,96,100,3.2
44,Narsaq,GL,2022-05-10 00:34:56,60.9167,-46.05,44.82,86,100,3.31
45,Mar Del Plata,AR,2022-05-10 00:30:10,-38.0023,-57.5575,54.95,82,73,8.99
46,Souillac,MU,2022-05-10 00:34:57,-20.5167,57.5167,73.78,94,40,3.44
47,Port Lincoln,AU,2022-05-10 00:35:57,-34.7333,135.8667,63.32,56,0,8.14
48,Kitimat,CA,2022-05-10 00:35:58,54.0524,-128.6534,55.78,62,99,3.0
49,Ilulissat,GL,2022-05-10 00:35:58,69.2167,-51.1,24.82,80,100,25.32
50,Suez,EG,2022-05-10 00:35:59,29.9737,32.5263,65.19,68,0,11.68
51,Pokhara,NP,2022-05-10 00:36:00,28.2333,83.9833,73.09,58,6,3.51
52,Cidreira,BR,2022-05-10 00:36:03,-30.1811,-50.2056,67.14,85,5,14.88
53,Bethel,US,2022-05-10 00:36:04,41.3712,-73.414,63.45,12,0,20.71
54,Rodrigues Alves,BR,2022-05-10 00:36:04,-7.738,-72.6509,79.0,88,0,1.72
55,Bluff,NZ,2022-05-10 00:36:05,-46.6,168.3333,53.8,65,82,3.51
56,Verkhnyaya Inta,RU,2022-05-10 00:36:05,65.9811,60.3094,27.99,94,100,5.79
57,Ust-Omchug,RU,2022-05-10 00:36:06,61.15,149.6333,36.77,93,95,3.13
58,Nemuro,JP,2022-05-10 00:36:07,43.3236,145.575,49.14,68,63,13.27
59,Kruisfontein,ZA,2022-05-10 00:35:08,-34.0033,24.7314,53.2,71,100,3.33
60,Chapleau,CA,2022-05-10 00:36:07,47.8405,-83.4034,62.69,23,100,12.66
61,Te Anau,NZ,2022-05-10 00:36:08,-45.4167,167.7167,52.61,65,37,2.73
62,Port Elizabeth,ZA,2022-05-10 00:36:08,-33.918,25.5701,56.32,97,0,3.44
63,Matara,LK,2022-05-10 00:36:09,5.9485,80.5353,81.68,85,100,14.85
64,Tiksi,RU,2022-05-10 00:36:10,71.6872,128.8694,16.27,83,94,10.07
65,Lander,US,2022-05-10 00:36:11,42.833,-108.7307,45.41,25,20,16.11
66,Saint-Philippe,RE,2022-05-10 00:36:11,-21.3585,55.7679,69.39,75,0,6.02
67,Yellowknife,CA,2022-05-10 00:34:00,62.456,-114.3525,27.12,63,100,20.71
68,Avarua,CK,2022-05-10 00:36:10,-21.2078,-159.775,86.05,74,75,2.3
69,Chernyshevskiy,RU,2022-05-10 00:36:12,63.0128,112.4714,27.99,64,32,5.99
70,Bowen,AU,2022-05-10 00:34:51,-20.0167,148.2333,77.68,82,100,19.39
71,Ponta Do Sol,PT,2022-05-10 00:36:13,32.6667,-17.1,74.03,33,0,6.29
72,Bridlington,GB,2022-05-10 00:36:14,54.0831,-0.1919,61.9,77,100,19.55
73,Deshnok,IN,2022-05-10 00:36:15,27.7986,73.3447,83.88,24,0,3.02
74,Atuona,PF,2022-05-10 00:36:15,-9.8,-139.0333,78.78,76,26,20.2
